text,intent
Can you track my delivery.,track_order
What's the update on my recent purchase now,track_order
Can you track my delivery.,track_order
I want to know the status of my order,track_order
What's the update on my recent purchase.,track_order
What's the update on my recent purchase!,track_order
Track my order please!,track_order
What's the update on my recent purchase now,track_order
Where is my order!,track_order
Where is my order.,track_order
Can you track my delivery.,track_order
Track my order please asap,track_order
Can you track my delivery now,track_order
Where is my order,track_order
What's the update on my recent purchase now,track_order
What's the update on my recent purchase!,track_order
Where is my order!,track_order
What's the update on my recent purchase,track_order
Where is my order,track_order
I want to know the status of my order please,track_order
Where is my order,track_order
Where is my order!,track_order
Where is my order asap,track_order
What's the update on my recent purchase!,track_order
What's the update on my recent purchase please,track_order
Where is my order.,track_order
Where is my order!,track_order
Where is my order please,track_order
What's the update on my recent purchase.,track_order
Can you track my delivery!,track_order
Where is my order.,track_order
I want to know the status of my order!,track_order
Track my order please now,track_order
What's the update on my recent purchase!,track_order
Track my order please,track_order
Where is my order asap,track_order
Can you track my delivery please,track_order
Can you track my delivery asap,track_order
What's the update on my recent purchase,track_order
I want to know the status of my order,track_order
Track my order please!,track_order
I want to know the status of my order!,track_order
I want to know the status of my order,track_order
What's the update on my recent purchase!,track_order
What's the update on my recent purchase now,track_order
Can you track my delivery asap,track_order
Can you track my delivery.,track_order
Can you track my delivery.,track_order
What's the update on my recent purchase,track_order
Where is my order please,track_order
I want to know the status of my order now,track_order
Where is my order please,track_order
Where is my order now,track_order
Track my order please now,track_order
Can you track my delivery please,track_order
Where is my order.,track_order
I want to know the status of my order now,track_order
Can you track my delivery now,track_order
Where is my order now,track_order
Track my order please asap,track_order
Where is my order,track_order
What's the update on my recent purchase asap,track_order
What's the update on my recent purchase!,track_order
I want to know the status of my order now,track_order
I want to know the status of my order!,track_order
Can you track my delivery.,track_order
Track my order please,track_order
Track my order please asap,track_order
I want to know the status of my order please,track_order
Track my order please.,track_order
What's the update on my recent purchase,track_order
Track my order please!,track_order
What's the update on my recent purchase!,track_order
Where is my order please,track_order
Track my order please,track_order
What's the update on my recent purchase,track_order
Can you track my delivery,track_order
Can you track my delivery asap,track_order
Track my order please.,track_order
Where is my order please,track_order
Track my order please asap,track_order
Track my order please please,track_order
Where is my order.,track_order
What's the update on my recent purchase please,track_order
Track my order please asap,track_order
Track my order please now,track_order
Track my order please now,track_order
Can you track my delivery asap,track_order
Can you track my delivery.,track_order
Where is my order asap,track_order
Track my order please please,track_order
I want to know the status of my order!,track_order
I want to know the status of my order,track_order
What's the update on my recent purchase.,track_order
