text,greeting,track_order,find_by_email,check_return,return_order
Can you track my delivery.,0,1,0,0,0
What's the update on my recent purchase now,0,1,0,0,0
Can you track my delivery.,0,1,0,0,0
I want to know the status of my order,0,1,0,0,0
What's the update on my recent purchase.,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
Track my order please!,0,1,0,0,0
What's the update on my recent purchase now,0,1,0,0,0
Where is my order!,0,1,0,0,0
Where is my order.,0,1,0,0,0
Can you track my delivery.,0,1,0,0,0
Track my order please asap,0,1,0,0,0
Can you track my delivery now,0,1,0,0,0
Where is my order,0,1,0,0,0
What's the update on my recent purchase now,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
Where is my order!,0,1,0,0,0
What's the update on my recent purchase,0,1,0,0,0
Where is my order,0,1,0,0,0
I want to know the status of my order please,0,1,0,0,0
Where is my order,0,1,0,0,0
Where is my order!,0,1,0,0,0
Where is my order asap,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
What's the update on my recent purchase please,0,1,0,0,0
Where is my order.,0,1,0,0,0
Where is my order!,0,1,0,0,0
Where is my order please,0,1,0,0,0
What's the update on my recent purchase.,0,1,0,0,0
Can you track my delivery!,0,1,0,0,0
Where is my order.,0,1,0,0,0
I want to know the status of my order!,0,1,0,0,0
Track my order please now,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
Track my order please,0,1,0,0,0
Where is my order asap,0,1,0,0,0
Can you track my delivery please,0,1,0,0,0
Can you track my delivery asap,0,1,0,0,0
What's the update on my recent purchase,0,1,0,0,0
I want to know the status of my order,0,1,0,0,0
Track my order please!,0,1,0,0,0
I want to know the status of my order!,0,1,0,0,0
I want to know the status of my order,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
What's the update on my recent purchase now,0,1,0,0,0
Can you track my delivery asap,0,1,0,0,0
Can you track my delivery.,0,1,0,0,0
Can you track my delivery.,0,1,0,0,0
What's the update on my recent purchase,0,1,0,0,0
Where is my order please,0,1,0,0,0
I want to know the status of my order now,0,1,0,0,0
Where is my order please,0,1,0,0,0
Where is my order now,0,1,0,0,0
Track my order please now,0,1,0,0,0
Can you track my delivery please,0,1,0,0,0
Where is my order.,0,1,0,0,0
I want to know the status of my order now,0,1,0,0,0
Can you track my delivery now,0,1,0,0,0
Where is my order now,0,1,0,0,0
Track my order please asap,0,1,0,0,0
Where is my order,0,1,0,0,0
What's the update on my recent purchase asap,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
I want to know the status of my order now,0,1,0,0,0
I want to know the status of my order!,0,1,0,0,0
Can you track my delivery.,0,1,0,0,0
Track my order please,0,1,0,0,0
Track my order please asap,0,1,0,0,0
I want to know the status of my order please,0,1,0,0,0
Track my order please.,0,1,0,0,0
What's the update on my recent purchase,0,1,0,0,0
Track my order please!,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
Where is my order please,0,1,0,0,0
Track my order please,0,1,0,0,0
What's the update on my recent purchase,0,1,0,0,0
Can you track my delivery,0,1,0,0,0
Can you track my delivery asap,0,1,0,0,0
Track my order please.,0,1,0,0,0
Where is my order please,0,1,0,0,0
Track my order please asap,0,1,0,0,0
Track my order please please,0,1,0,0,0
Where is my order.,0,1,0,0,0
What's the update on my recent purchase please,0,1,0,0,0
Track my order please asap,0,1,0,0,0
Track my order please now,0,1,0,0,0
Track my order please now,0,1,0,0,0
Can you track my delivery asap,0,1,0,0,0
Can you track my delivery.,0,1,0,0,0
Where is my order asap,0,1,0,0,0
Track my order please please,0,1,0,0,0
I want to know the status of my order!,0,1,0,0,0
I want to know the status of my order,0,1,0,0,0
What's the update on my recent purchase.,0,1,0,0,0
What's the update on my recent purchase.,0,1,0,0,0
What's the update on my recent purchase,0,1,0,0,0
Where is my order.,0,1,0,0,0
Track my order please.,0,1,0,0,0
Where is my order,0,1,0,0,0
Track my order please!,0,1,0,0,0
Track my order please!,0,1,0,0,0
What's the update on my recent purchase,0,1,0,0,0
Track my order please!,0,1,0,0,0
Can you track my delivery,0,1,0,0,0
What's the update on my recent purchase asap,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
I want to know the status of my order please,0,1,0,0,0
What's the update on my recent purchase now,0,1,0,0,0
Where is my order now,0,1,0,0,0
I want to know the status of my order!,0,1,0,0,0
Track my order please asap,0,1,0,0,0
Track my order please,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
Track my order please,0,1,0,0,0
Can you track my delivery please,0,1,0,0,0
Can you track my delivery!,0,1,0,0,0
I want to know the status of my order now,0,1,0,0,0
Can you track my delivery asap,0,1,0,0,0
What's the update on my recent purchase please,0,1,0,0,0
Track my order please please,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
I want to know the status of my order!,0,1,0,0,0
What's the update on my recent purchase,0,1,0,0,0
I want to know the status of my order!,0,1,0,0,0
Track my order please.,0,1,0,0,0
I want to know the status of my order!,0,1,0,0,0
What's the update on my recent purchase now,0,1,0,0,0
Track my order please!,0,1,0,0,0
Can you track my delivery now,0,1,0,0,0
What's the update on my recent purchase now,0,1,0,0,0
Track my order please.,0,1,0,0,0
Where is my order!,0,1,0,0,0
Where is my order,0,1,0,0,0
What's the update on my recent purchase,0,1,0,0,0
Track my order please.,0,1,0,0,0
Can you track my delivery,0,1,0,0,0
What's the update on my recent purchase,0,1,0,0,0
Where is my order,0,1,0,0,0
Track my order please.,0,1,0,0,0
Where is my order,0,1,0,0,0
Where is my order please,0,1,0,0,0
Can you track my delivery now,0,1,0,0,0
Can you track my delivery!,0,1,0,0,0
I want to know the status of my order now,0,1,0,0,0
Can you track my delivery!,0,1,0,0,0
I want to know the status of my order please,0,1,0,0,0
Track my order please please,0,1,0,0,0
Track my order please!,0,1,0,0,0
I want to know the status of my order.,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
I want to know the status of my order now,0,1,0,0,0
Can you track my delivery.,0,1,0,0,0
Where is my order asap,0,1,0,0,0
Track my order please,0,1,0,0,0
Where is my order please,0,1,0,0,0
What's the update on my recent purchase asap,0,1,0,0,0
Can you track my delivery asap,0,1,0,0,0
Where is my order.,0,1,0,0,0
I want to know the status of my order please,0,1,0,0,0
Track my order please now,0,1,0,0,0
What's the update on my recent purchase!,0,1,0,0,0
What's the update on my recent purchase now,0,1,0,0,0
I want to know the status of my order.,0,1,0,0,0
