text,intent
CHECK RETURN UPDATE.,check_return
Can you tell me if my return is complete,check_return
Can you tell me if my return is complete asap,check_return
Can you tell me if my return is complete now,check_return
Can you tell me if my return is complete please,check_return
Can you tell me if my return is complete!,check_return
Can you tell me if my return is complete.,check_return
Check actually return update.,check_return
Check maybe return update.,check_return
Check please return update.,check_return
Check return actually update.,check_return
Check return status for my order,check_return
Check return status for my order asap,check_return
Check return status for my order now,check_return
Check return status for my order please,check_return
Check return status for my order!,check_return
Check return status for my order.,check_return
Check return uh update.,check_return
Check return um update.,check_return
Check return update.,check_return
Check return update. actually,check_return
Check return update. maybe,check_return
Check return update. please,check_return
Check return update. uh,check_return
Check return update. um,check_return
Check return update.!,check_return
Check um return update.,check_return
HAS MY RETURN BEEN PROCESSED?,check_return
Has actually my rturn been processed?,check_return
Has maybe my rturn been processed?,check_return
Has my return actually been processed?,check_return
Has my return been prcessed?,check_return
Has my return been processed,check_return
Has my return been processed asap,check_return
Has my return been processed now,check_return
Has my return been processed please,check_return
Has my return been processed!,check_return
Has my return been processed.,check_return
Has my return been processed?,check_return
Has my return been processed? please,check_return
Has my return been processed?!,check_return
Has my return ben processed?,check_return
Has my return ben processed? um,check_return
Has my rturn been processed?,check_return
Has my rturn please been processed?,check_return
Has my rturn uh been processed?,check_return
Has my uh return ben processed?,check_return
Has please my return ben processed?,check_return
Has uh my return been prcessed?,check_return
Hs maybe my return been processed?,check_return
Hs my return been processed?,check_return
Hs my return been processed? uh,check_return
"I RETURNED AN ITEM, IS IT DONE?",check_return
"I maybe returned an item, is it done?",check_return
"I returned an item, is it dne?",check_return
"I returned an item, is it done?",check_return
"I returned an item, is it done? please",check_return
"I returned an item, is it done?!",check_return
"I returned an item, is t done?",check_return
"I returned an item, maybe s it done?",check_return
"I returned an item, s it done?",check_return
"I returned an item, what's the status",check_return
"I returned an item, what's the status asap",check_return
"I returned an item, what's the status now",check_return
"I returned an item, what's the status please",check_return
"I returned an item, what's the status!",check_return
"I returned an item, what's the status.",check_return
"I returned an tem, is it done?",check_return
"I returned an tem, is maybe it done?",check_return
"I returned an um item, is it done?",check_return
"I returned an um item, s it done?",check_return
"I returned n item, please is it done?",check_return
"I returned n item, um is it done?",check_return
"I returned please an item, is t done?",check_return
"I returned um an item, is it dne?",check_return
"I rturned an item, is it done?",check_return
"I rturned an please item, is it done?",check_return
WHAT IS THE RETURN STATUS?,check_return
WHERE IS MY RETURN?,check_return
What is th please return status?,check_return
What is th return actually status?,check_return
What is th return status?,check_return
What is th return status? please,check_return
What is th return um status?,check_return
What is the maybe return sttus?,check_return
What is the please return sttus?,check_return
What is the please rturn status?,check_return
What is the return status?,check_return
What is the return status? please,check_return
What is the return status?!,check_return
What is the return sttus?,check_return
What is the rturn status?,check_return
What is the rturn status? maybe,check_return
What is uh the return sttus?,check_return
What maybe is th return status?,check_return
What s the return status?,check_return
What uh is the return sttus?,check_return
What's going on with my return,check_return
What's going on with my return asap,check_return
What's going on with my return now,check_return
What's going on with my return please,check_return
What's going on with my return!,check_return
What's going on with my return.,check_return
Where is my actually return?,check_return
Where is my return?,check_return
Where is my return? please,check_return
Where is my return? uh,check_return
Where is my return?!,check_return
Where is my rturn?,check_return
Where is my rturn? maybe,check_return
Where is my um return?,check_return
Where is please my rturn?,check_return
Where is um my return?,check_return
Where is um my rturn?,check_return
Where s maybe my return?,check_return
Where s my actually return?,check_return
Where s my return?,check_return
Where s um my return?,check_return
Where uh is my rturn?,check_return
Whre is my return?,check_return
Wht is the return status?,check_return
Wht is the return status? please,check_return
Wht is the return um status?,check_return
Wht maybe is the return status?,check_return
actually What s the return status?,check_return
check return update.,check_return
has my return been processed?,check_return
"i returned an item, is it done?",check_return
maybe Check return update.,check_return
maybe What is the return sttus?,check_return
maybe Where is my return?,check_return
please Check return update.,check_return
"please I returned an item, s it done?",check_return
please Where is my rturn?,check_return
uh Check return update.,check_return
uh What is the rturn status?,check_return
um Check return update.,check_return
um What s the return status?,check_return
um Whre is my return?,check_return
what is the return status?,check_return
where is my return?,check_return
Can you find my order by email,find_by_email
